bigram,count
stem cell,164
cell therapy,41
cell treatment,24
own body,22
able to,20
use of,19
cell be,18
to use,16
be able,16
right to,15
continue to,15
of stem,15
my body,15
homologous use,15
< br/,13
br/ >,13
the right,13
to get,12
a drug,12
hct p,12
need to,12
the stem,11
my stem,11
own stem,11
see attach,10
these treatment,10
use my,10
own cell,10
treatment be,10
side effect,10
i would,10
i could,10
access to,10
strength and,10
and tissue,10
minimal manipulation,10
non- structural,10
treatment i,9
fda approve,9
therapy i,9
have stem,9
cell and,9
body part,9
the donor,9
the treatment,8
< br/><br/>i,8
of medicine,8
therapy that,8
my right,8
knee replacement,8
of human,8
cellular and,8
the use,8
i know,7
i believe,7
cost of,7
pay for,7
thank you,7
want to,7
range of,7
adult stem,7
make it,7
base on,7
the four,7
four hct,7
guidance document,7
a person&#39;s,7
use the,7
my knee,7
< br/><br/,7
br/><br/ >,7
relate to,7
my cell,7
amniotic membrane,7
the cell,6
no long,6
a well,6
the patient,6
cell to,6
a stem,6
insurance company,6
well and,6
cell procedure,6
with stem,6
the united,6
united states,6
this treatment,6
to make,6
regenerative medicine,6
no option,6
option patient,6
body and,6
cell for,6
regulate a,6
responsible stem,6
my shoulder,6
same day,6
human cells,6
cells tissues,6
tissue as,6
body be,6
surgical procedure,6
on minimal,6
definition of,6
the procedure,5
procedure that,5
attach file(s,5
of treatment,5
my life,5
cell from,5
believe that,5
cell as,5
the people,5
quality of,5
i find,5
give i,5
could not,5
use they,5
to heal,5
the cost,5
pain free,5
my doctor,5
year ago,5
multiple sclerosis,5
therapy and,5
year old,5
of motion,5
drug and,5
be treat,5
to choose,5
never be,5
one of,5
the business,5
business of,5
of regulate,5
person&#39;s use,5
to responsible,5
own tissue,5
cell injection,5
two year,5
the regulation,5
tissues and,5
and cellular,5
use their,5
hundred of,5
to continue,5
patient to,5
procedure i,5
use in,5
of bone,5
continue access,5
our body,5
pharmaceutical company,5
main function,5
structural or,5
structural and,5
and non-,5
structural functionality,5
intend for,5
the recipient,5
of homologous,5
have conclude,5
tissue -based,5
-based products,5
and see,4
disease and,4
3 month,4
due to,4
this procedure,4
treatment for,4
lot of,4
well quality,4
have suffer,4
people who,4
of life,4
big pharma,4
of pocket,4
the country,4
system and,4
therapy be,4
be diagnose,4
biologic and,4
my insurance,4
this therapy,4
would have,4
the last,4
would be,4
i receive,4
the knee,4
adipose tissue,4
safe and,4
number of,4
therapy to,4
br/><br/>i be,4
patient be,4
year and,4
get out,4
to take,4
a treatment,4
tissue and,4
