bigram,count
stem cell,32
of the,20
use of,17
cell therapy,15
in the,10
bone marrow,9
to be,8
regulate a,8
a person&#39;s,8
person&#39;s use,8
own body,8
hct p,8
own tissue,7
to the,7
30px'></span >,7
the four,7
four hct,7
p guidance,7
out of,7
the business,7
business of,7
of regulate,7
their own,6
be not,6
of stem,6
21 cfr,6
need to,6
homologous use,6
access to,6
withdraw the,6
therapy that,6
that use,6
the use,5
have be,5
the regulation,5
do not,5
of a,5
should be,5
of his,5
his own,5
to responsible,5
responsible stem,5
use the,5
the patients&#39,5
patients&#39 own,5
comment on,4
guidance relate,4
relate to,4
regulation of,4
of human,4
human cells,4
cells tissues,4
to make,4
cell treatment,4
healthcare professional,4
such treatment,4
treatment and,4
cfr part,4
would be,4
able to,4
be a,4
the field,4
style='padding left,4
left 30px'></span,4
the fda,4
of bone,4
or tissue,3
tissue base,3
be make,3
cell intervention,3
have to,3
it be,3
difficult to,3
under 21,3
part 1271,3
the information,3
be able,3
with the,3
the future,3
she be,3
that the,3
at the,3
the project,3
regenerative medicine,3
use a,3
as part,3
part of,3
and the,3
to have,3
style='padding leave,3
leave 30px'></span,3
be regulate,3
basic function,3
function of,3
cell and,3
own stem,3
of their,3
docket no,3
no fda-2015,3
fda-2015 d-3719,3
guidance document,3
document <,3
get out,3
body part,3
part <,3
continue access,3
the draft,2
draft guidance,2
be in,2
in my,2
adipose tissue,2
be use,2
use by,2
for many,2
must be,2
be take,2
guidance and,2
on the,2
of these,2
type of,2
for treatment,2
study that,2
drive potentially,2
study and,2
quot;draft guidance,2
tissues or,2
or cellular,2
cellular or,2
wish to,2
to comment,2
facilitate inform,2
inform decision,2
decision making,2
making by,2
make well,2
well treatment,2
treatment decision,2
patient who,2
professional who,2
for these,2
to include,2
benefit risk,2
< br/><br/>the,2
from the,2
intervention should,2
intervention be,2
patient be,2
information they,2
the benefit,2
1271 cgtp,2
treatment outcome,2
available to,2
have already,2
and publish,2
as well,2
on stem,2
a registry,2
i be,2
greatly benefit,2
who would,2
choice for,2
the u.s.,2
wide variety,2
variety of,2
in a,2
that be,2
be at,2
researcher and,2
for a,2
< br/><br/>stem,2
br/><br/>stem cell,2
to patient,2
therapy to,2
of this,2
and procedure,2
of patient,2
and to,2
to support,2
field of,2
of medicine,2
have stem,2
benefit from,2
this treatment,2
in favor,2
favor of,2
stem cells,2
my wife,2
wife be,2
be now,2
treatment in,2
be test,2
not cure,2
and she,2
the cell,2
cell be,2
an example,2
please find,2
public hearing,2
hearing request,2
request for,2
