type,phrase,context,position,comment_id,stakeholder,comment_type,term,citation,section
guidance,draft guidance ,The terminology used in the draft guidance is in my view not sufficiently descriptive of the challenges facing the use of HCT/Ps.<br/><br/>Ther...,28,FDA-2015-D-3719-0004,unknown,technical_document,,,
technical_term,,...n my view not sufficiently descriptive of the challenges facing the use of HCT/Ps.<br/><br/>There is also the question of the use of autologous cells vs. a...,122,FDA-2015-D-3719-0004,unknown,technical_document,HCT/P,,
CFR,,"...t to accurately evaluate the benefit:risk profile of stem cell treatments. Because procedures under 21 CFR part 1271 (CGTP) do not qualify as studies, treatment outcomes of these interventions are never made availabl...",1758,FDA-2015-D-3719-0003,unknown,technical_document,,21 CFR part 1271,1271
CFR,,"...ventions are never made available to the public. <br/>Interventions offered by establishments under 21 CFR part 1271 (CGTP) rely on studies that have already been done and published, as well as their own empirical ex...",1942,FDA-2015-D-3719-0003,unknown,technical_document,,21 CFR part 1271,1271
CFR,,"...suggesting creation of a registry into which information on stem cell interventions conducted under 21 CFR part 1271 would be reported. To make such undertaking worthwhile, the anonymized dataset would have to includ...",2487,FDA-2015-D-3719-0003,unknown,technical_document,,21 CFR part 1271,1271
CFR,,"...o accurately evaluate the benefit:risk profile of stem cell treatments. Because procedures under 21 CFR part 1271 (CGTP) do not qualify as studies, treatment outcomes of these interventions are never made availabl...",1761,FDA-2015-D-3719-0003,unknown,technical_document,,CFR part 1271,1271
CFR,,"...tions are never made available to the public. <br/>Interventions offered by establishments under 21 CFR part 1271 (CGTP) rely on studies that have already been done and published, as well as their own empirical ex...",1945,FDA-2015-D-3719-0003,unknown,technical_document,,CFR part 1271,1271
CFR,,"...gesting creation of a registry into which information on stem cell interventions conducted under 21 CFR part 1271 would be reported. To make such undertaking worthwhile, the anonymized dataset would have to includ...",2490,FDA-2015-D-3719-0003,unknown,technical_document,,CFR part 1271,1271
CFR,,"...curately evaluate the benefit:risk profile of stem cell treatments. Because procedures under 21 CFR part 1271 (CGTP) do not qualify as studies, treatment outcomes of these interventions are never made availabl...",1765,FDA-2015-D-3719-0003,unknown,technical_document,,part 1271,
CFR,,"...s are never made available to the public. <br/>Interventions offered by establishments under 21 CFR part 1271 (CGTP) rely on studies that have already been done and published, as well as their own empirical ex...",1949,FDA-2015-D-3719-0003,unknown,technical_document,,part 1271,
CFR,,"...ing creation of a registry into which information on stem cell interventions conducted under 21 CFR part 1271 would be reported. To make such undertaking worthwhile, the anonymized dataset would have to includ...",2494,FDA-2015-D-3719-0003,unknown,technical_document,,part 1271,
