comment_id,dominant_frame,word_count,comment_type,body_self_score,body_self_present,product_drug_score,product_drug_present,treatment_therapy_score,treatment_therapy_present,economic_access_score,economic_access_present
FDA-2015-D-3719-0004,treatment_therapy,108,technical_document,0,False,0,False,1,True,0,False
FDA-2015-D-3719-0003,treatment_therapy,635,technical_document,0,False,0,False,18,True,1,True
FDA-2015-D-3719-0005,body_self,2,personal_narrative,5,True,0,False,1,True,0,False
FDA-2015-D-3719-0006,treatment_therapy,126,personal_narrative,0,False,0,False,2,True,0,False
FDA-2015-D-3719-0007,treatment_therapy,3,personal_narrative,1,True,0,False,20,True,1,True
FDA-2015-D-3719-0009,treatment_therapy,437,personal_narrative,4,True,0,False,14,True,0,False
FDA-2015-D-3719-0008,treatment_therapy,56,technical_document,0,False,0,False,3,True,0,False
FDA-2015-D-3719-0010,treatment_therapy,146,personal_narrative,0,False,0,False,4,True,1,True
FDA-2015-D-3719-0011,treatment_therapy,437,personal_narrative,4,True,0,False,11,True,7,True
FDA-2015-D-3719-0012,treatment_therapy,3,personal_narrative,0,False,0,False,13,True,2,True
FDA-2015-D-3719-0013,treatment_therapy,2,personal_narrative,3,True,0,False,16,True,1,True
FDA-2015-D-3719-0014,treatment_therapy,147,technical_document,0,False,0,False,4,True,0,False
FDA-2015-D-3719-0016,treatment_therapy,35,personal_narrative,0,False,0,False,2,True,0,False
FDA-2015-D-3719-0015,treatment_therapy,182,personal_narrative,1,True,0,False,5,True,3,True
FDA-2015-D-3719-0017,body_self,92,personal_narrative,1,True,0,False,1,True,1,True
FDA-2015-D-3719-0022,treatment_therapy,166,personal_narrative,0,False,0,False,8,True,2,True
FDA-2015-D-3719-0021,treatment_therapy,571,personal_narrative,3,True,0,False,18,True,4,True
FDA-2015-D-3719-0024,treatment_therapy,165,personal_narrative,1,True,0,False,3,True,0,False
FDA-2015-D-3719-0023,treatment_therapy,228,personal_narrative,2,True,0,False,4,True,2,True
FDA-2015-D-3719-0019,body_self,185,personal_narrative,6,True,0,False,2,True,1,True
FDA-2015-D-3719-0020,none,22,personal_narrative,0,False,0,False,0,False,0,False
FDA-2015-D-3719-0025,treatment_therapy,3,personal_narrative,3,True,2,True,42,True,11,True
FDA-2015-D-3719-0026,treatment_therapy,653,technical_document,0,False,2,True,4,True,1,True
FDA-2015-D-3719-0027,treatment_therapy,10,personal_narrative,0,False,1,True,9,True,1,True
FDA-2015-D-3719-0044,treatment_therapy,108,personal_narrative,0,False,0,False,1,True,0,False
FDA-2015-D-3719-0066,treatment_therapy,107,personal_narrative,0,False,0,False,5,True,1,True
FDA-2015-D-3719-0090,treatment_therapy,124,personal_narrative,0,False,0,False,5,True,4,True
FDA-2015-D-3719-0091,treatment_therapy,54,technical_document,0,False,0,False,1,True,1,True
FDA-2015-D-3719-0051,treatment_therapy,21,technical_document,0,False,0,False,1,True,0,False
FDA-2015-D-3719-0069,treatment_therapy,588,personal_narrative,0,False,0,False,8,True,2,True
FDA-2015-D-3719-0080,body_self,191,personal_narrative,6,True,0,False,1,True,0,False
FDA-2015-D-3719-0092,economic_access,40,personal_narrative,0,False,0,False,0,False,1,True
FDA-2015-D-3719-0093,none,20,technical_document,0,False,0,False,0,False,0,False
FDA-2015-D-3719-0095,treatment_therapy,852,personal_narrative,5,True,0,False,24,True,1,True
FDA-2015-D-3719-0043,none,3,personal_narrative,0,False,0,False,0,False,0,False
FDA-2015-D-3719-0096,none,11,technical_document,0,False,0,False,0,False,0,False
FDA-2015-D-3719-0067,body_self,89,personal_narrative,4,True,0,False,2,True,0,False
FDA-2015-D-3719-0126,body_self,65,personal_narrative,2,True,0,False,0,False,0,False
FDA-2015-D-3719-0097,treatment_therapy,9,personal_narrative,0,False,14,True,49,True,14,True
FDA-2015-D-3719-0031,product_drug,479,personal_narrative,0,False,3,True,3,True,0,False
FDA-2015-D-3719-0070,treatment_therapy,60,technical_document,0,False,0,False,1,True,1,True
FDA-2015-D-3719-0077,treatment_therapy,32,technical_document,0,False,0,False,1,True,1,True
FDA-2015-D-3719-0100,treatment_therapy,44,technical_document,0,False,0,False,2,True,0,False
FDA-2015-D-3719-0119,treatment_therapy,32,technical_document,0,False,0,False,1,True,0,False
FDA-2015-D-3719-0045,treatment_therapy,31,personal_narrative,0,False,0,False,2,True,0,False
FDA-2015-D-3719-0046,none,52,personal_narrative,0,False,0,False,0,False,0,False
FDA-2015-D-3719-0060,body_self,123,personal_narrative,3,True,0,False,1,True,0,False
FDA-2015-D-3719-0075,treatment_therapy,56,personal_narrative,1,True,0,False,3,True,1,True
FDA-2015-D-3719-0105,treatment_therapy,86,technical_document,0,False,0,False,4,True,0,False
FDA-2015-D-3719-0052,economic_access,77,personal_narrative,0,False,0,False,0,False,1,True
