trigram,count
stem cell therapy,47
stem cell treatment,28
of stem cell,20
be able to,19
be not a,17
hct p guidance,15
< br/ >,14
out of the,14
own stem cell,14
four hct p,14
the use of,13
the four hct,13
regulate a person&#39;s,13
a person&#39;s use,13
person&#39;s use of,13
i be a,12
my stem cell,12
the stem cell,12
stem cell be,12
of the business,12
the business of,12
business of regulate,12
of regulate a,12
have stem cell,11
responsible stem cell,11
human cells tissues,10
i have have,10
this be not,10
use of his,10
own body part,10
access to responsible,10
to responsible stem,10
cell therapy that,10
therapy that use,10
the draft guidance,9
to the regulation,9
the right to,9
should not be,9
p guidance document,9
of his own,9
his own body,9
that use the,9
use the patients&#39,9
the patients&#39 own,9
use of stem,9
withdraw the four,9
cellular and tissue,9
draft guidance on,9
in the donor,9
relate to the,8
the regulation of,8
regulation of human,8
of human cells,8
< br/><br/ >,8
use my own,8
my own body,8
continue access to,8
guidance relate to,7
the fda to,7
i have be,7
get out of,7
not a drug,7
adult stem cell,7
patients&#39 own tissue,7
cells tissues and,7
tissues and cellular,7
and cellular and,7
use their own,6
with stem cell,6
cell therapy i,6
a stem cell,6
and i be,6
my own stem,6
cell treatment be,6
stem cell procedure,6
the united states,6
no option patient,6
to do with,6
stem cell for,6
i have to,6
i do not,6
their own body,6
stem cell injection,6
able to use,6
guidance on minimal,6
on minimal manipulation,6
stem cell intervention,5
21 cfr part,5
see attach file(s,5
right to use,5
quality of life,5
cell therapy be,5
i be able,5
in the united,5
have have no,5
range of motion,5
cell be not,5
stem cell and,5
cell therapy have,5
need to be,5
style='padding left 30px'></span,5
left 30px'></span >,5
of bone marrow,5
guidance document <,5
body part <,5
docket no fda-2015,5
no fda-2015 d-3719,5
stem cell to,5
have the right,5
structural and non-,5
and non- structural,5
non- structural functionality,5
in the recipient,5
of homologous use,5
fda have conclude,5
and tissue -based,5
tissue -based products,5
quot;draft guidance relate,4
cfr part 1271,4
stem cell from,4
treatment i have,4
i have suffer,4
to use my,4
my own cell,4
in the future,4
out of pocket,4
i could not,4
the cost of,4
i be not,4
that i could,4
to use they,4
a number of,4
cell therapy to,4
< br/><br/>i be,4
and should be,4
should be allow,4
cell be my,4
be my own,4
my body and,4
public hearing request,4
hearing request for,4
of the cell,4
our own body,4
autologous stem cell,4
i have a,4
and stem cell,4
request for comment,4
to be able,4
to use their,4
their own cell,4
of their own,4
of the fda,4
allow patient to,4
that the fda,4
than minimally manipulate,4
and tissue base,4
body be not,4
i should be,4
they be not,4
of minimal manipulation,4
through notice and,4
notice and comment,4
structural or non-,4
tissue as structural,4
as structural or,4
tissue have both,4
have both structural,4
both structural and,4
functionality in the,4
guidance on homologous,4
on homologous use,4
definition of homologous,4
have conclude that,4
conclude that micronized,4
when intend for,4
bone void filler,4
strength and compressibility,4
tensile strength and,4
strength and elasticity,4
function in the,4
use in the,3
safety and efficacy,3
have to pay,3
under 21 cfr,3
as well as,3
on stem cell,3
cell treatment and,3
whom it may,3
have have a,3
a lot of,3
a well quality,3
in stem cell,3
i know that,3
cell from my,3
treatment be not,3
well quality of,3
would like to,3
cell therapy on,3
stem cell harvest,3
cell harvest from,3
