trigram,count
stem cell therapy,13
regulate a person&#39;s,8
a person&#39;s use,8
person&#39;s use of,8
the four hct,7
four hct p,7
hct p guidance,7
out of the,7
of the business,7
the business of,7
business of regulate,7
of regulate a,7
withdraw the four,6
cell therapy that,6
therapy that use,6
the use of,5
of stem cell,5
use of his,5
of his own,5
his own body,5
access to responsible,5
to responsible stem,5
responsible stem cell,5
that use the,5
use the patients&#39,5
the patients&#39 own,5
guidance relate to,4
relate to the,4
to the regulation,4
the regulation of,4
regulation of human,4
of human cells,4
human cells tissues,4
stem cell treatment,4
21 cfr part,4
style='padding left 30px'></span,4
left 30px'></span >,4
patients&#39 own tissue,4
stem cell intervention,3
under 21 cfr,3
cfr part 1271,3
be able to,3
as part of,3
need to be,3
style='padding leave 30px'></span,3
leave 30px'></span >,3
of bone marrow,3
basic function of,3
function of bone,3
own stem cell,3
their own body,3
use of stem,3
docket no fda-2015,3
no fda-2015 d-3719,3
p guidance document,3
guidance document <,3
get out of,3
own body part,3
body part <,3
continue access to,3
quot;draft guidance relate,2
cells tissues or,2
tissues or cellular,2
or cellular or,2
facilitate inform decision,2
inform decision making,2
decision making by,2
to make well,2
make well treatment,2
well treatment decision,2
healthcare professional who,2
part 1271 cgtp,2
of the information,2
on stem cell,2
of a registry,2
who would be,2
would be able,2
wide variety of,2
< br/><br/>stem cell,2
br/><br/>stem cell therapy,2
have stem cell,2
in the future,2
in favor of,2
my wife be,2
and she be,2
public hearing request,2
hearing request for,2
of regenerative medicine,2
prof alex faulkner,2
cell or tissue,2
bone marrow be,2
for homologous use,2
with another article&quot,2
bone marrow for,2
30px'></span > moreover,2
homologous use of,2
derive from bone,2
from bone marrow,2
limit ventricular remodeling,2
a basic function,2
do you consider,2
bone marrow cell,2
the government should,2
p guidance documents.<br/><br/>get,2
guidance documents.<br/><br/>get out,2
documents.<br/><br/>get out of,2
use of their,2
of their own,2
own body parts.<br/,2
body parts.<br/ >,2
cells tissues and,2
tissues and cellular,2
and cellular and,2
cellular and tissue,2
and tissue base,2
p guidance documents.<br/>get,2
guidance documents.<br/>get out,2
documents.<br/>get out of,2
cell therapy have,2
use a patient&#39;s,2
a patient&#39;s own,2
patient&#39;s own tissue,2
own tissue should,2
tissue should be,2
and stem cell,2
stem cell and,2
use our own,2
1 withdraw the,2
document < br/><br/>2,2
< br/><br/>2 get,2
br/><br/>2 get out,2
part < br/><br/>3,2
< br/><br/>3 continue,2
br/><br/>3 continue access,2
the terminology use,1
terminology use in,1
use in the,1
in the draft,1
the draft guidance,1
draft guidance be,1
guidance be in,1
be in my,1
in my view,1
my view not,1
view not sufficiently,1
not sufficiently descriptive,1
sufficiently descriptive of,1
descriptive of the,1
of the challenge,1
the challenge face,1
challenge face the,1
face the use,1
use of hct,1
of hct ps.<br/><br/>there,1
hct ps.<br/><br/>there be,1
ps.<br/><br/>there be also,1
be also the,1
also the question,1
the question of,1
question of the,1
of the use,1
use of autologous,1
of autologous cell,1
autologous cell vs.,1
cell vs. allogeneic,1
vs. allogeneic cell,1
allogeneic cell whether,1
cell whether for,1
whether for adipose,1
for adipose tissue,1
adipose tissue or,1
tissue or homologous,1
or homologous us.<br/><br/>autologous,1
homologous us.<br/><br/>autologous adipose,1
us.<br/><br/>autologous adipose tissue,1
adipose tissue have,1
tissue have be,1
have be use,1
be use by,1
use by cosmetic,1
by cosmetic surgeon,1
cosmetic surgeon for,1
surgeon for many,1
for many year,1
many year to,1
year to quot;fill&quot,1
to quot;fill&quot area,1
quot;fill&quot area on,1
area on a,1
on a patient,1
a patient use,1
patient use their,1
use their own,1
their own tissue,1
own tissue <,1
tissue < br/><br/>care,1
< br/><br/>care must,1
br/><br/>care must be,1
must be take,1
be take when,1
