word,count
cell,13188
stem,7079
body,6887
use,5395
right,5042
drug,4673
please,2377
one,2317
take,2015
part,1919
way,1619
doctor,1610
treatment,1600
control,1581
classify,1548
would,1344
prevent,1293
allow,1199
one's,1184
include,1153
away,1145
people,1115
make,1090
human,1059
medical,1046
another,1027
deem,1027
company,1025
inalienable,984
tissue,964
treat,956
able,946
acceptable,935
want,912
life,890
suppose,889
need,834
patient,832
consider,809
future,758
therapy,756
pharmaceutical,749
individual,742
big,732
profit,701
health,693
research,688
regulation,663
mine,660
like,646
see,606
could,600
person,579
even,570
help,567
believe,560
regulate,547
let,544
come,543
pharma,542
property,541
benefit,536
well,525
time,525
say,502
government,489
belong,481
may,477
without,470
skin,454
give,449
good,442
many,430
store,430
procedure,428
disease,428
blood,424
cure,421
save,419
thank,417
get,408
reclassify,408
medicine,400
product,396
bank,382
graft,381
decision,370
think,368
change,365
interest,357
condition,355
day,351
thing,349
potential,348
keep,346
citizen,333
money,333
noone,330
long,327
different,327
much,326
culture,325
reason,320
choose,317
access,315
science,314
something,310
far,303
seem,295
corporation,293
matter,291
also,289
fit,279
cells,274
hct,272
personal,269
year,267
country,266
physician,264
extract,262
create,261
large,260
know,259
else,259
support,257
produce,254
back,253
ability,253
stop,250
anyone,250
issue,247
person's,245
care,243
decide,243
absurd,243
classification,242
patient's,240
anything,238
industry,237
heal,232
perform,232
sense,229
remove,228
must,226
provide,225
progress,225
process,225
protect,224
continue,224
work,222
law,222
option,220
wish,218
cultured,218
new,217
american,217
material,214
current,212
put,210
advance,208
tell,208
especially,208
later,206
improve,205
choice,204
base,202
already,202
practice,201
someone,201
order,201
limit,199
can't,199
upon,198
purpose,198
rule,197
technology,196
cellular,195
state,195
consent,194
find,194
great,194
result,193
world,193
still,192
number,192
derive,190
risk,188
ridiculous,188
case,187
every,187
possible,187
important,186
effect,185
unless,183
effective,182
available,181
business,180
hope,179
try,179
hold,178
become,178
however,177
instead,176
regard,176
corporate,176
within,174
place,174
healthcare,173
repair,172
example,172
cost,171
ownership,171
require,167
currently,166
happen,166
homologous,164
basic,162
flesh,162
feel,160
remain,160
cord,160
function,159
fact,159
entity,159
approve,158
live,157
whether,156
whatever,155
regulatory,154
application,154
free,153
understand,153
label,153
dna,153
absolutely,152
bone,151
outside,148
common,148
harvest,145
mean,145
united,144
study,143
deny,143
regrow,143
organ,143
states,142
otherwise,142
restrict,141
society,140
safe,139
potentially,138
genetic,137
rather,136
harm,135
simply,134
biological,134
claim,134
advancement,134
hair,133
safety,132
increase,132
concern,132
leave,132
transplant,131
since,131
self,131
full,131
field,130
grow,130
hearing,129
pain,128
donate,128
idea,125
freedom,125
show,124
donor,124
relate,123
opportunity,123
individual's,123
therapeutic,123
utilize,123
regardless,123
americans,120
exist,119
prove,118
scientific,118
form,118
propose,117
sell,117
adipose,116
line,116
damage,116
receive,115
pay,114
never,114
move,114
agency,114
system,113
approval,113
burn,113
type,112
involve,112
specific,112
party,111
first,111
determine,111
legal,111
lose,110
high,109
side,107
healthy,107
alone,107
almost,107
restriction,107
stand,106
autologous,105
suffer,105
humanity,105
look,104
today,104
might,104
definition,104
restore,104
private,104
therefore,103
severe,103
necessary,103
belief,103
ever,102
yes,102
clinical,101
term,101
quality,100
open,100
less,100
modify,99
policy,99
illness,99
tissues,98
cause,98
point,98
power,98
storage,98
due,97
food,97
problem,97
reclassification,97
sperm,97
enough,96
thus,96
fat,96
step,96
greed,96
america,95
cancer,95
surgery,94
products,94
level,94
non,94
development,94
tooth,94
nobody,94
method,93
minimal,93
bodily,93
adult,92
act,92
manipulation,92
autonomy,92
yet,92
dictate,92
miracle,92
region,92
brain,91
always,91
million,91
msc,91
marrow,90
hand,90
fashion,90
develop,89
firm,89
mitigate,89
organization,89
information,88
lot,88
two,88
end,88
chance,88
wound,88
knee,87
lead,87
population,87
inform,86
2016,86
replacement,86
period,86
kind,86
innovation,85
injury,85
standard,85
family,85
permission,85
simple,85
exceptionally,85
fight,84
agree,83
little,83
evidence,82
maintain,82
wrong,82
obvious,82
administration,81
child,81
nothing,81
serve,81
set,81
question,80
trial,80
follow,80
everyone,80
ask,80
alter,80
strongly,79
subject,79
apply,79
professional,78
start,78
structural,78
natural,78
affect,78
area,77
amount,77
urge,77
substance,77
document,77
strike,77
medication,76
usage,76
general,75
completely,75
similar,75
action,75
die,75
growth,75
ailment,75
and/or,74
umbilical,74
attempt,74
illegal,74
essence,74
dollar,73
read,73
characteristic,73
mind,73
odd,73
patent,73
old,72
infringe,72
transfer,72
beneficial,72
extraction,71
market,70
sure,70
favor,70
fall,70
opinion,70
people's,70
hinder,70
2013,70
seek,69
2014,69
2012,69
man,69
eye,69
that's,69
forward,68
promote,68
death,68
intend,68
date,68
surgical,68
really,68
egg,68
price,68
view,67
possibility,67
clear,67
ensure,67
request,67
third,67
force,67
etc,67
hucmsc,67
certain,66
u.s.,66
consideration,66
pocket,66
call,66
body's,66
