word,count
cell,220
stem,167
treatment,92
use,87
therapy,66
patient,59
year,52
body,49
tissue,47
procedure,39
would,38
pain,32
knee,32
see,31
drug,31
right,31
need,30
well,29
structural,28
continue,27
make,26
homologous,26
take,25
medicine,24
one,24
medical,24
could,24
help,23
option,22
people,22
get,22
also,20
life,20
function,20
able,20
surgery,20
please,20
part,20
work,19
may,18
time,18
regulate,18
regulation,17
allow,17
clinic,17
disease,16
research,16
give,16
injection,16
human,16
many,15
like,15
result,15
doctor,15
bone,15
month,14
know,14
even,14
without,14
cost,14
insurance,14
since,14
br/,13
consider,13
believe,13
new,13
fat,13
receive,13
support,13
cellular,13
product,13
want,13
strength,13
access,13
hct,13
autologous,13
shoulder,13
risk,13
attach,12
long,12
pharmaceutical,12
approve,12
side,12
effect,12
way,12
feel,12
country,12
day,12
pay,12
become,12
it&#39;s,12
safe,12
base,12
minimal,12
look,11
improve,11
suffer,11
government,11
save,11
however,11
rule,11
issue,11
try,11
good,11
study,11
heal,11
company,11
free,11
two,11
replacement,11
benefit,11
process,11
don&#39;t,11
provide,11
manipulation,11
non-,11
find,10
medication,10
future,10
week,10
still,10
adipose,10
treat,10
cells,10
never,10
practice,10
surgical,10
level,9
decide,9
experience,9
come,9
i&#39;ve,9
walk,9
care,9
away,9
adult,9
request,9
document,9
relate,9
state,9
concept,9
donor,9
functionality,9
increase,8
start,8
trial,8
quality,8
physician,8
last,8
br/><br/>i,8
put,8
show,8
stop,8
control,8
say,8
system,8
thing,8
today,8
much,8
range,8
choose,8
hearing,8
business,8
four,8
main,8
amniotic,8
problem,8
recommendation,8
back,7
live,7
type,7
several,7
improvement,7
include,7
high,7
case,7
steroid,7
health,7
prescription,7
industry,7
first,7
age,7
let,7
thank,7
positive,7
available,7
tell,7
every,7
healthy,7
hope,7
additional,7
regenerative,7
person&#39;s,7
cover,7
recipient,7
perform,7
less,7
br/><br/,7
products,7
regulatory,7
datum,7
intend,7
require,7
definition,7
membrane,7
anti,7
repair,6
notice,6
around,6
within,6
leave,6
undergo,6
stemgenex,6
cure,6
involve,6
already,6
big,6
bring,6
must,6
think,6
2015,6
energy,6
biologic,6
significantly,6
fact,6
multiple,6
old,6
united,6
states,6
responsible,6
inject,6
traditional,6
tissues,6
2001,6
nothing,6
non,6
safety,6
micronized,6
i&#39;m,5
file(s,5
concern,5
clinical,5
three,5
far,5
brain,5
2011,5
follow,5
agency,5
individual,5
pocket,5
immune,5
reason,5
different,5
arthritis,5
point,5
stemcell,5
great,5
blood,5
ago,5
joint,5
period,5
expensive,5
effective,5
number,5
another,5
advance,5
sclerosis,5
acceptable,5
person,5
fit,5
decision,5
motion,5
100,5
create,5
letter,5
million,5
world,5
cuff,5
tear,5
fully,5
sleep,5
begin,5
withdraw,5
hundred,5
spine,5
left,5
guideline,5
restrict,5
view,5
sense,5
manipulate,5
svf,5
adverse,5
purpose,5
2016,5
repeat,5
explanation,5
conclude,5
-based,5
seem,4
wasn&#39;t,4
due,4
bad,4
market,4
transplant,4
lot,4
serious,4
pharma,4
society,4
dollar,4
strong,4
answer,4
shot,4
diagnose,4
overall,4
2014,4
lab,4
hour,4
wish,4
test,4
young,4
half,4
completely,4
recommend,4
progressive,4
wheelchair,4
matter,4
daily,4
something,4
ever,4
symptom,4
harvest,4
introduce,4
balance,4
return,4
clear,4
current,4
derive,4
expand,4
condition,4
important,4
progress,4
celltex,4
mobility,4
mean,4
read,4
american,4
outside,4
represent,4
step,4
chronic,4
standard,4
patients&#39,4
rotator,4
muscle,4
success,4
full,4
arm,4
head,4
propose,4
leg,4
close,4
houston,4
area,4
dr.,4
normal,4
approval,4
order,4
offer,4
nerve,4
occur,4
end,4
recent,4
common,4
scientific,4
minimally,4
agree,4
authority,4
yet,4
low,4
opinion,4
necessary,4
final,4
rate,4
registration,4
orthopedic,4
disorder,4
opportunity,4
seek,4
classification,4
reality,4
void,4
filler,4
alter,4
compressibility,4
tensile,4
elasticity,4
wife,3
bladder,3
remove,3
strongly,3
move,3
diabetes,3
various,3
complication,3
science,3
injury,3
deny,3
method,3
consideration,3
appreciate,3
keep,3
everyone,3
term,3
rheumatoid,3
place,3
instead,3
thousand,3
hear,3
remain,3
encourage,3
large,3
painful,3
though,3
directly,3
later,3
although,3
mention,3
rehab,3
walking,3
invasive,3
participate,3
ask,3
u.s.,3
mother,3
fog,3
next,3
understand,3
stand,3
kid,3
explain,3
foot,3
secondary,3
label,3
recognize,3
especially,3
regain,3
walker,3
deserve,3
reaction,3
fear,3
rejection,3
power,3
impact,3
double,3
denver,3
team,3
approach,3
friend,3
successful,3
change,3
school,3
hand,3
hurt,3
platelet,3
refer,3
associate,3
determine,3
marrow,3
hip,3
culture,3
interfere,3
breast,3
transportation,3
either,3
jackson,3
addition,3
unless,3
short,3
device,3
center,3
food,3
classify,3
investigational,3
specifically,3
action,3
intervention,3
oversight,3
date,3
operate,3
kind,3
statement,3
event,3
suppose,3
protect,3
therapeutic,3
modality,3
currently,3
almost,3
serve,3
