word,count
the,529
be,493
to,396
and,381
of,338
i,334
have,263
my,237
a,235
cell,220
in,203
stem,167
for,154
that,151
not,150
with,101
this,95
treatment,92
do,91
use,87
they,85
fda,80
<,75
it,72
as,72
on,70
own,70
therapy,66
from,62
or,60
patient,59
we,58
year,52
should,49
body,49
no,47
tissue,47
but,44
>,41
our,40
procedure,39
would,38
guidance,38
these,36
their,34
pain,32
knee,32
see,31
drug,31
any,31
right,31
if,30
need,30
you,30
well,29
can,28
go,28
structural,28
all,27
at,27
by,27
continue,27
an,26
only,26
make,26
homologous,26
out,25
take,25
over,24
medicine,24
one,24
medical,24
could,24
help,23
more,23
option,22
people,22
get,22
now,21
also,20
life,20
will,20
function,20
who,20
there,20
able,20
surgery,20
please,20
part,20
work,19
other,19
draft,19
may,18
time,18
into,18
regulate,18
when,17
which,17
regulation,17
some,17
allow,17
so,17
through,17
clinic,17
disease,16
after,16
research,16
about,16
give,16
what,16
injection,16
human,16
than,16
how,16
many,15
us,15
like,15
because,15
such,15
result,15
doctor,15
bone,15
comment,15
month,14
know,14
even,14
without,14
cost,14
insurance,14
since,14
both,14
br/,13
consider,13
3,13
believe,13
new,13
fat,13
same,13
receive,13
support,13
cellular,13
product,13
want,13
strength,13
access,13
hct,13
p,13
autologous,13
shoulder,13
risk,13
attach,12
just,12
long,12
pharmaceutical,12
approve,12
side,12
effect,12
your,12
way,12
feel,12
country,12
ms,12
day,12
very,12
pay,12
become,12
it&#39;s,12
safe,12
base,12
2,12
minimal,12
look,11
improve,11
suffer,11
government,11
save,11
however,11
rule,11
issue,11
try,11
good,11
study,11
heal,11
company,11
free,11
two,11
replacement,11
benefit,11
process,11
don&#39;t,11
provide,11
manipulation,11
non-,11
then,10
find,10
medication,10
future,10
week,10
still,10
adipose,10
6,10
under,10
treat,10
cells,10
never,10
public,10
practice,10
surgical,10
level,9
decide,9
experience,9
those,9
come,9
i&#39;ve,9
walk,9
care,9
away,9
adult,9
request,9
document,9
relate,9
state,9
concept,9
donor,9
functionality,9
increase,8
her,8
before,8
start,8
trial,8
quality,8
physician,8
last,8
br/><br/>i,8
put,8
show,8
most,8
myself,8
stop,8
control,8
say,8
system,8
thing,8
today,8
much,8
range,8
choose,8
hearing,8
business,8
up,8
four,8
main,8
amniotic,8
problem,8
recommendation,8
’s,8
back,7
off,7
live,7
type,7
1,7
several,7
improvement,7
include,7
high,7
case,7
its,7
steroid,7
health,7
prescription,7
industry,7
first,7
age,7
let,7
thank,7
positive,7
available,7
tell,7
every,7
healthy,7
hope,7
additional,7
regenerative,7
person&#39;s,7
his,7
cover,7
recipient,7
perform,7
less,7
br/><br/,7
products,7
regulatory,7
datum,7
intend,7
require,7
definition,7
membrane,7
anti,7
until,6
repair,6
notice,6
around,6
within,6
leave,6
undergo,6
stemgenex,6
cure,6
involve,6
already,6
big,6
bring,6
must,6
think,6
2015,6
energy,6
biologic,6
where,6
significantly,6
each,6
fact,6
multiple,6
old,6
united,6
states,6
again,6
responsible,6
inject,6
traditional,6
tissues,6
2001,6
nothing,6
non,6
safety,6
micronized,6
i&#39;m,5
she,5
file(s,5
whom,5
concern,5
clinical,5
three,5
far,5
brain,5
2011,5
follow,5
agency,5
individual,5
pocket,5
immune,5
reason,5
different,5
arthritis,5
point,5
stemcell,5
great,5
blood,5
50,5
ago,5
joint,5
period,5
expensive,5
effective,5
number,5
another,5
advance,5
sclerosis,5
5,5
acceptable,5
person,5
fit,5
decision,5
re,5
motion,5
100,5
create,5
letter,5
million,5
world,5
cuff,5
tear,5
fully,5
sleep,5
begin,5
federal,5
withdraw,5
hundred,5
spine,5
left,5
guideline,5
restrict,5
4,5
view,5
sense,5
manipulate,5
svf,5
adverse,5
purpose,5
2016,5
repeat,5
explanation,5
conclude,5
-based,5
seem,4
wasn&#39;t,4
due,4
bad,4
while,4
market,4
transplant,4
lot,4
serious,4
pharma,4
society,4
dollar,4
strong,4
answer,4
shot,4
diagnose,4
overall,4
2014,4
lab,4
during,4
hour,4
wish,4
test,4
young,4
half,4
completely,4
s,4
recommend,4
progressive,4
wheelchair,4
matter,4
daily,4
something,4
ever,4
symptom,4
harvest,4
introduce,4
balance,4
return,4
clear,4
current,4
derive,4
expand,4
condition,4
important,4
15,4
progress,4
celltex,4
mobility,4
mean,4
read,4
american,4
outside,4
represent,4
step,4
chronic,4
standard,4
patients&#39,4
rotator,4
muscle,4
success,4
full,4
arm,4
head,4
propose,4
leg,4
close,4
houston,4
area,4
dr.,4
normal,4
approval,4
order,4
offer,4
nerve,4
occur,4
end,4
recent,4
common,4
scientific,4
minimally,4
agree,4
authority,4
yet,4
low,4
opinion,4
necessary,4
final,4
rate,4
registration,4
orthopedic,4
disorder,4
opportunity,4
seek,4
classification,4
reality,4
void,4
filler,4
