word,count
be,24477
to,16945
the,16119
my,15514
cell,13188
of,12004
and,11751
a,11468
i,10702
stem,7079
body,6887
they,6484
not,6427
in,6139
that,5767
own,5473
use,5395
as,5097
right,5042
have,4899
drug,4673
for,4473
should,4159
from,4158
it,3406
this,3332
any,3225
do,2999
or,2685
please,2377
with,2356
one,2317
no,2214
an,2202
fda,2180
can,2150
their,2075
if,2016
take,2015
we,1935
part,1919
way,1619
doctor,1610
our,1607
treatment,1600
by,1584
control,1581
you,1556
classify,1548
over,1536
which,1519
don't,1472
would,1344
prevent,1293
on,1282
what,1262
allow,1199
one's,1184
include,1153
away,1145
people,1115
make,1090
human,1059
medical,1046
another,1027
deem,1027
so,1026
company,1025
these,1008
inalienable,984
tissue,964
treat,956
able,946
acceptable,935
want,912
how,906
life,890
will,890
suppose,889
but,874
other,856
need,834
patient,832
consider,809
your,778
there,774
only,763
more,758
future,758
therapy,756
pharmaceutical,749
individual,742
big,732
at,705
profit,701
health,693
research,688
when,681
regulation,663
mine,660
all,652
like,646
than,621
see,606
could,600
person,579
even,570
help,567
such,563
believe,560
regulate,547
let,544
come,543
pharma,542
property,541
who,537
benefit,536
same,530
well,525
time,525
say,502
because,500
it's,496
government,489
belong,481
into,478
may,477
just,474
without,470
skin,454
give,449
good,442
why,432
many,430
store,430
procedure,428
disease,428
blood,424
out,423
cure,421
save,419
thank,417
get,408
reclassify,408
medicine,400
then,398
product,396
those,394
bank,382
graft,381
decision,370
some,370
think,368
myself,367
change,365
interest,357
very,356
condition,355
day,351
thing,349
potential,348
keep,346
go,344
about,341
citizen,333
money,333
guidance,331
noone,330
long,327
different,327
much,326
culture,325
reason,320
up,318
choose,317
access,315
science,314
now,311
something,310
al,310
public,306
far,303
et,299
under,296
seem,295
its,293
corporation,293
matter,291
also,289
fit,279
cells,274
hct,272
personal,269
year,267
country,266
physician,264
extract,262
create,261
large,260
know,259
else,259
support,257
produce,254
back,253
ability,253
stop,250
anyone,250
issue,247
most,246
person's,245
care,243
decide,243
absurd,243
classification,242
patient's,240
anything,238
industry,237
heal,232
perform,232
us,231
sense,229
comment,228
after,228
remove,228
themselves,227
must,226
provide,225
progress,225
process,225
protect,224
continue,224
e,224
work,222
law,222
option,220
wish,218
cultured,218
new,217
american,217
material,214
current,212
put,210
advance,208
tell,208
especially,208
later,206
improve,205
choice,204
p,203
base,202
already,202
t,202
practice,201
someone,201
order,201
shouldn't,201
where,200
through,200
her,199
being,199
limit,199
can't,199
upon,198
purpose,198
rule,197
i'm,196
technology,196
cellular,195
state,195
consent,194
find,194
great,194
result,193
world,193
still,192
number,192
against,191
derive,190
risk,188
ridiculous,188
case,187
every,187
possible,187
important,186
effect,185
unless,183
while,182
effective,182
available,181
business,180
hope,179
try,179
hold,178
become,178
however,177
instead,176
regard,176
corporate,176
within,174
place,174
healthcare,173
repair,172
example,172
his,172
cost,171
ownership,171
between,170
require,167
currently,166
happen,166
homologous,164
basic,162
flesh,162
off,160
feel,160
remain,160
cord,160
function,159
fact,159
entity,159
approve,158
live,157
whether,156
draft,155
few,155
whatever,155
regulatory,154
application,154
n,154
free,153
understand,153
label,153
dna,153
she,152
absolutely,152
bone,151
ps,149
outside,148
common,148
harvest,145
s,145
mean,145
2,144
united,144
study,143
deny,143
regrow,143
organ,143
states,142
otherwise,142
restrict,141
society,140
safe,139
potentially,138
genetic,137
rather,136
harm,135
simply,134
biological,134
both,134
claim,134
advancement,134
’s,134
here,133
o,133
hair,133
before,132
safety,132
increase,132
concern,132
leave,132
transplant,131
since,131
self,131
full,131
field,130
grow,130
hearing,129
pain,128
nor,128
donate,128
too,126
they're,125
idea,125
freedom,125
show,124
donor,124
relate,123
opportunity,123
individual's,123
therapeutic,123
utilize,123
regardless,123
1,121
americans,120
exist,119
prove,118
scientific,118
form,118
propose,117
sell,117
adipose,116
line,116
down,116
damage,116
receive,115
pay,114
never,114
move,114
agency,114
system,113
approval,113
burn,113
type,112
involve,112
specific,112
party,111
again,111
first,111
determine,111
legal,111
re,110
lose,110
l,110
high,109
side,107
healthy,107
alone,107
almost,107
restriction,107
stand,106
doesn't,106
autologous,105
suffer,105
humanity,105
look,104
today,104
might,104
definition,104
restore,104
private,104
therefore,103
severe,103
necessary,103
belief,103
ever,102
yes,102
clinical,101
term,101
above,101
quality,100
open,100
once,100
less,100
he,100
3,99
modify,99
policy,99
illness,99
tissues,98
cause,98
point,98
power,98
storage,98
due,97
food,97
problem,97
reclassification,97
sperm,97
enough,96
thus,96
fat,96
step,96
r,96
greed,96
america,95
cancer,95
d,95
surgery,94
products,94
level,94
non,94
development,94
tooth,94
nobody,94
method,93
minimal,93
bodily,93
j.,93
adult,92
act,92
manipulation,92
autonomy,92
yet,92
dictate,92
miracle,92
region,92
brain,91
always,91
million,91
