comment_text,comment_type,has_attachments,id,possessive_count,posted_date,submitter_name,technical_density,type_confidence,word_count
"The terminology used in the draft guidance is in my view not sufficiently descriptive of the challenges facing the use of HCT/Ps.<br/><br/>There is also the question of the use of autologous cells vs. allogeneic cells whether for adipose tissue or homologous us.<br/><br/>Autologous adipose tissue has been used by cosmetic surgeons for many years to &quot;fill&quot; areas on a patient using their own tissue.  <br/><br/>Care must be taken when creating new guidances and regulation on the use of these types of tissues for treatment or study that may drive potentially useful therapies away from study and drive potentially harmful practices under ground, perhaps under the guise of &quot;cosmetic surgery&quot;.<br/><br/>",technical_document,False,FDA-2015-D-3719-0004,1,2016-01-11T05:00:00Z,,3.7,1.0,108
"Re: Comments on &quot;Draft Guidances Relating to the Regulation of Human Cells, Tissues, or Cellular or Tissue-Based Products&quot; <br/><br/>I wish to comment on the concerned draft guidance and propose introduction of certain measures that would facilitate informed decision-making by stakeholders involved. All participants in the system need reliable and accurate information to make better treatment decisions: patients who consider stem cell treatments, healthcare professionals who care for these patients before and after such treatment, and payers, who may or may not wish to include these therapies in their programs depending on their benefits, risks, and cost-effectiveness. <br/><br/>The Helsinki Declaration says on unproven Interventions in Clinical Practice:<br/>37. In the treatment of an individual patient, where proven interventions do not exist or other known interventions have been ineffective, the physician, after seeking expert advice, with informed consent from the patien",technical_document,False,FDA-2015-D-3719-0003,0,2016-01-11T05:00:00Z,,1.26,1.0,635
See Attached,personal_narrative,True,FDA-2015-D-3719-0005,0,2016-02-02T05:00:00Z,,0.0,0.7,2
"Took my wife and had the stemgenics done and saw an increase in her kidney level. <br/>She has alztimers disease and seemed to have helped her memory until the cells<br/> attacked her gall bladder in an effort to repair it. Have  had the gallbladder removed<br/> and I&#39;m confident enough that this helped her that I&#39;m considering having it repeated.<br/> Also noticed immediately after the procedure that she wasn&#39;t vomiting anymore.<br/> It was around 3 months before she started back vomiting and when she did start back,<br/> I assume it was due to her gallbladder being bad. This procedure raised her kidney<br/> level within just a few months and now she if off her Lasix and no longer needs it.<br/>I strongly suggest in moving forward with stemgenic.<br/><br/>",personal_narrative,False,FDA-2015-D-3719-0006,1,2016-02-18T05:00:00Z,,0.0,1.0,126
See attached file(s),personal_narrative,True,FDA-2015-D-3719-0007,0,2016-02-18T05:00:00Z,,0.0,0.7,3
"To Whom it May Concern; <br/><br/>My name is Eliza Tyler; I have lived with Type 1 Diabetes for 43 years. <br/>I have had a multitude of treatments for various complications, several being pharmaceuticals which worked for a while and then abruptly removed from the market, i.e., Propulsid. I have also been rejected from the FDA/NIH backed clinical trial for islet cell transplant. That has not left me with a lot of options. <br/><br/>After over a year or more of research, looking for other options to extend my life with a better quality, I decided to undergo treatment with StemGenex. I am a firm believer in stem cell science and medicine. I know that an eventual cure will involve stem cells. From my research and my personal experience with the treatments, I have undergone three of these treatments thus far, I have had improved A1c levels, an improvement in many of the ongoing complications I have suffered, along with improved cognitive function from a brain injury suffered in 2011. One c",personal_narrative,False,FDA-2015-D-3719-0009,11,2016-02-19T05:00:00Z,,0.23,1.0,437
I traveled to California 2-1/2 years ago and had stem cell therapy on my left knee which had arthritis and a torn meniscus.  I greatly benefitted from this treatment and no longer take anti inflammatory drugs.  They used only my stem cells harvested from abdominal fat.  I would consider this treatment again in the future.  <br/>,technical_document,False,FDA-2015-D-3719-0008,2,2016-02-19T05:00:00Z,,5.36,0.6,56
"I flew to StemGenex&#39;s in La Jolla California February 2015. I have SPMS and after I had the stem cell therapy I found  improvement in my energy level, better bladder control and felt stronger. But, with that being said I hit a wall after about six months. Was it worth the out of pocket expenses of over $15,000.00 my answer is no. I continue to get worse with the progression of the disease. I am now going out of the country to have HSCT, a stem cell transplant which includes high doses of chemotherapy.  Basically destroying my immune system and giving me a new immune system.  Without having the chemo there is no reason people should have stem cell therapy. This is my case and everyone is different. Stem cell therapy is in my openion a shot term help. HSCT will halt MS in its tracks.",personal_narrative,False,FDA-2015-D-3719-0010,5,2016-02-22T05:00:00Z,,2.05,1.0,146
"I was diagnosed in 2006 with Rheumatoid Arthritis and tried Enbrel, Humira, Symponi, and Orencia combined with oral and Injectable steroids.  These all helped for a certain amount of time with many side effects with the biologics (increased infections mostly with the biologics) and numerous side effects with the steroids (weight gain, moodiness, exhaustion, irritation, overall a bad feeling) but none put me in what I would call &quot;remission&quot; until I went to Stemgenex in February of 2015.  In 2014 despite continued biologics (my 4th one) use and increased oral and injectable steroids my health detiorated and my labs were incresaing in value (not a good thing).  I was in a place of taking prescription pain medications (at night because I could not use them and work during the day) and was in constant pain-24 hours a day.  I was getting to a point where I was no longer able to work but that was not a realistic option.  My rheumatologist had reached her comfort level in prescribing",personal_narrative,False,FDA-2015-D-3719-0011,14,2016-02-24T05:00:00Z,,1.14,1.0,437
See attached file(s),personal_narrative,True,FDA-2015-D-3719-0012,0,2016-02-29T05:00:00Z,,0.0,0.7,3
